baseline_index,building_type,vintage_name,measure_id,lighting_scaling_factor,lighting_fraction_radiant,lighting_fraction_visible,lighting_return_air_fraction,elec_equipment_load_scaling_factor,elec_equipment_fraction_radiant,elec_equipment_fraction_latent,elec_equipment_fraction_lost,exhaust_fans_occ_control_enabled,dcv_enabled,fan_motor_eff,pump_motor_eff,boiler_reset,hw_boiler_flow_mode,hw_boiler_curve,hw_boiler_reset_enabled,hw_boiler_reset_highsupplytemp,hw_boiler_reset_outsidehighsupplytemp,hw_boiler_reset_lowsupplytemp,hw_boiler_reset_outsidelowsupplytemp,occ_stbck_enabled,occ_stbck_tolerance,occ_stbck_heat_setback,occ_stbck_heat_setpoint,occ_stbck_cool_setback,occ_stbck_cool_setpoint,infiltration_flow_per_exterior_area,cold_deck_reset_enabled,cold_deck_reset_max_supply_air_temp,cold_deck_reset_min_supply_air_temp,pump_speed_type,pump_control_type,pump_motor_eff,cost_per_building,cost_per_building_dcv,cost_per_building_exhaustfans,cost_per_building_plugreduce,cost_per_building_lightreduce,cost_per_building_fansandpumps,cost_per_boiler_reset,cost_per_occ_temp_setback,infil_cost_per_building,cost_per_cold_deck_reset,cost_per_building_recommissioning
1,Barracks,1959-pre,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,NA,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0002,TRUE,20,13,NA,NA,NA,397597,64275,4523,21281,92265,10200,957,36806,122012,10864,34414
2,Fire Hall,1959-pre,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,NA,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0003,TRUE,20,13,NA,NA,NA,124528,8668,2261,2750,15765,6120,957,5066,67418,3621,11902
3,Food Service,1959-pre,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,TRUE,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0002,TRUE,20,13,NA,NA,NA,259055,7713,6784,2554,111667,10636,957,4417,83796,14485,16046
4,Food Service,2005-2014,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,TRUE,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0002,TRUE,20,13,NA,NA,NA,175259,7713,6784,2554,111667,10636,957,4417,0,14485,16046
5,Hangar,1959-pre,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,TRUE,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0003,TRUE,20,13,NA,NA,NA,408060,65989,3769,21849,133713,6855,957,37788,96777,7243,33120
6,Hangar,1960-1979,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,TRUE,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0003,TRUE,20,13,NA,NA,NA,408060,65989,3769,21849,133713,6855,957,37788,96777,7243,33120
7,Hangar,1980-2004,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,TRUE,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0003,TRUE,20,13,NA,NA,NA,400107,65989,3769,21849,133713,6855,957,37788,88824,7243,33120
8,Maintenance Shop,1959-pre,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,TRUE,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0003,TRUE,20,13,NA,NA,NA,160260,9427,2261,3121,45581,5266,957,5398,74019,3621,10609
9,Maintenance Shop,1980-2004,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,TRUE,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0003,TRUE,20,13,NA,NA,NA,153381,9427,2261,3121,45581,5266,957,5398,67140,3621,10609
10,Maintenance Shop-Small,1959-pre,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,TRUE,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0003,TRUE,20,13,NA,NA,NA,102017,7713,754,2554,24169,4516,957,4417,47106,3621,6210
11,Maintenance Shop-Small,1960-1979,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,TRUE,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0003,TRUE,20,13,NA,NA,NA,102017,7713,754,2554,24169,4516,957,4417,47106,3621,6210
12,Maintenance Shop-Small,1980-2004,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,TRUE,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0003,TRUE,20,13,NA,NA,NA,98111,7713,754,2554,24169,4516,957,4417,43200,3621,6210
13,Office,1959-pre,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,TRUE,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0002,TRUE,20,13,NA,NA,NA,282727,43707,5276,14471,83176,8276,957,25028,54491,18106,29239
14,Office,1960-1979,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,TRUE,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0002,TRUE,20,13,NA,NA,NA,282727,43707,5276,14471,83176,8276,957,25028,54491,18106,29239
15,Office,1980-2004,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,TRUE,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0002,TRUE,20,13,VariableSpeed,Intermittent,0.895,278137,43707,5276,14471,83176,8276,957,25028,49901,18106,29239
16,Office-Small,1960-1979,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,TRUE,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0002,TRUE,20,13,NA,NA,NA,114105,13712,1508,4540,20189,1745,957,7852,36956,14485,12161
17,Office-Small,1980-2004,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,TRUE,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0002,TRUE,20,13,NA,NA,NA,110701,13712,1508,4540,20189,1745,957,7852,33552,14485,12161
18,Office-Small,2005-2014,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,TRUE,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0002,TRUE,20,13,NA,NA,NA,77149,13712,1508,4540,20189,1745,957,7852,0,14485,12161
19,Recreation Center,1980-2004,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,NA,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0002,TRUE,20,13,NA,NA,NA,501354,27424,6030,9080,232340,35398,957,15704,112850,32591,28980
20,Storage Building,1959-pre,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,TRUE,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0003,TRUE,20,13,NA,NA,NA,65397,857,754,284,24436,0,957,491,37359,0,259
21,Storage Building,1960-1979,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,TRUE,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0003,TRUE,20,13,NA,NA,NA,65397,857,754,284,24436,0,957,491,37359,0,259
22,Storage Building,1980-2004,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,TRUE,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0003,TRUE,20,13,NA,NA,NA,61563,857,754,284,24436,0,957,491,33525,0,259
23,Storage Building,2005-2014,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,TRUE,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0003,TRUE,20,13,NA,NA,NA,28038,857,754,284,24436,0,957,491,0,0,259
24,Training Building,1959-pre,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,TRUE,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0002,TRUE,20,13,NA,NA,NA,400032,35137,1508,11634,160307,20033,957,20121,116444,14485,19406
25,Training Building,1980-2004,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,TRUE,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0002,TRUE,20,13,NA,NA,NA,387391,35137,1508,11634,160307,20033,957,20121,103803,14485,19406
26,Training Building,2005-2014,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,TRUE,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0002,TRUE,20,13,NA,NA,NA,283588,35137,1508,11634,160307,20033,957,20121,0,14485,19406
27,Vehicle Garage,1959-pre,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,TRUE,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0003,TRUE,20,13,NA,NA,NA,134111,8750,754,2838,26160,3349,957,4908,67248,9315,9832
28,Vehicle Garage,1980-2004,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,TRUE,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0003,TRUE,20,13,NA,NA,NA,129003,8750,754,2838,26160,3349,957,4908,62140,9315,9832
NA,Barracks,1960-1979,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,NA,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0002,TRUE,20,13,NA,NA,NA,0,64275,4523,21281,92265,10200,957,36806,122012,10864,34414
NA,Barracks,1980-2004,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,NA,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0002,TRUE,20,13,NA,NA,NA,0,64275,4523,21281,92265,10200,957,36806,110890,10864,34414
30,Barracks,2005-2014,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,NA,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0002,TRUE,20,13,NA,NA,NA,275585,64275,4523,21281,92265,10200,957,36806,0,10864,34414
NA,Fire Hall,1960-1979,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,NA,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0003,TRUE,20,13,NA,NA,NA,0,8668,2261,2750,15765,6120,957,5066,67418,3621,11902
NA,Fire Hall,1980-2004,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,NA,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0003,TRUE,20,13,NA,NA,NA,0,8668,2261,2750,15765,6120,957,5066,62831,3621,11902
31,Fire Hall,2005-2014,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,NA,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0003,TRUE,20,13,NA,NA,NA,57110,8668,2261,2750,15765,6120,957,5066,0,3621,11902
NA,Food Service,1960-1979,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,TRUE,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0002,TRUE,20,13,NA,NA,NA,0,7713,6784,2554,111667,10636,957,4417,83796,14485,16046
NA,Food Service,1980-2004,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,TRUE,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0002,TRUE,20,13,NA,NA,NA,0,7713,6784,2554,111667,10636,957,4417,76635,14485,16046
29,Hangar,2005-2014,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,TRUE,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0003,TRUE,20,13,NA,NA,NA,311283,65989,3769,21849,133713,6855,957,37788,0,7243,33120
NA,Maintenance Shop,1960-1979,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,TRUE,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0003,TRUE,20,13,NA,NA,NA,0,9427,2261,3121,45581,5266,957,5398,74019,3621,10609
NA,Maintenance Shop,2005-2014,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,TRUE,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0003,TRUE,20,13,NA,NA,NA,0,9427,2261,3121,45581,5266,957,5398,0,3621,10609
NA,Maintenance Shop-Small,2005-2014,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,TRUE,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0003,TRUE,20,13,NA,NA,NA,0,7713,754,2554,24169,4516,957,4417,0,3621,6210
NA,Office,2005-2014,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,TRUE,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0002,TRUE,20,13,NA,NA,NA,0,43707,5276,14471,83176,8276,957,25028,0,18106,29239
NA,Office-Small,1959-pre,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,TRUE,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0002,TRUE,20,13,NA,NA,NA,0,13712,1508,4540,20189,1745,957,7852,36956,14485,12161
NA,Recreation Center,1959-pre,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,NA,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0002,TRUE,20,13,NA,NA,NA,0,27424,6030,9080,232340,35398,957,15704,123257,32591,28980
NA,Recreation Center,1960-1979,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,NA,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0002,TRUE,20,13,NA,NA,NA,0,27424,6030,9080,232340,35398,957,15704,123257,32591,28980
NA,Recreation Center,2005-2014,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,NA,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0002,TRUE,20,13,NA,NA,NA,0,27424,6030,9080,232340,35398,957,15704,0,32591,28980
NA,Training Building,1960-1979,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,TRUE,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0002,TRUE,20,13,NA,NA,NA,0,35137,1508,11634,160307,20033,957,20121,116444,14485,19406
NA,Vehicle Garage,1960-1979,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,TRUE,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0003,TRUE,20,13,NA,NA,NA,0,8750,754,2838,26160,3349,957,4908,67248,9315,9832
NA,Vehicle Garage,2005-2014,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,TRUE,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0003,TRUE,20,13,NA,NA,NA,0,8750,754,2838,26160,3349,957,4908,0,9315,9832
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
