attic,attic Thermal Zone,FullServiceRestaurant.osm,?,note: we include the attic zone as part of each of the food and dining zones
Dining,Dining Thermal Zone,FullServiceRestaurant.osm,Dining - other,Dining - family space
Kitchen,Kitchen Thermal Zone,FullServiceRestaurant.osm,Food preparation,Food preparation
,,FullServiceRestaurant.osm, ,
Basement,Basement Thermal Zone,Hospital.osm,?,Electrical/Mechanical
Corridor,Corridor_Flr_1 Thermal Zone,Hospital.osm,Corr. >= 2.4m wide,Corr. >= 2.4m wide
Corridor,Corridor_Flr_2 Thermal Zone,Hospital.osm,Corr. >= 2.4m wide,Corr. >= 2.4m wide
Corridor,Corridor_Flr_5 Thermal Zone,Hospital.osm,Corr. >= 2.4m wide,Corr. >= 2.4m wide
Corridor,Corridor_NW_Flr_3 Thermal Zone,Hospital.osm,Corr. >= 2.4m wide,Corr. >= 2.4m wide
Corridor,Corridor_NW_Flr_4 Thermal Zone,Hospital.osm,Corr. >= 2.4m wide,Corr. >= 2.4m wide
Corridor,Corridor_SE_Flr_3 Thermal Zone,Hospital.osm,Corr. >= 2.4m wide,Corr. >= 2.4m wide
Corridor,Corridor_SE_Flr_4 Thermal Zone,Hospital.osm,Corr. >= 2.4m wide,Corr. >= 2.4m wide
Dining,Dining_Flr_5 Thermal Zone,Hospital.osm,?,Dining - bar lounge/leisure
ER,ER_Exam1_Mult4_Flr_1 Thermal Zone,Hospital.osm,Hospital - emergency,Hospital - emergency
ER,ER_Exam3_Mult4_Flr_1 Thermal Zone,Hospital.osm,Hospital - emergency,Hospital - emergency
ER,ER_NurseStn_Lobby_Flr_1 Thermal Zone,Hospital.osm,Hospital - nurses' station,Hospital - nurses' station
ER,ER_Trauma1_Flr_1 Thermal Zone,Hospital.osm,Hospital - emergency,Hospital - emergency
ER,ER_Trauma2_Flr_1 Thermal Zone,Hospital.osm,Hospital - emergency,Hospital - emergency
ER,ER_Triage_Mult4_Flr_1 Thermal Zone,Hospital.osm,Hospital - emergency,Hospital - emergency
IC,IC_PatRoom1_Mult5_Flr_2 Thermal Zone,Hospital.osm,,Hospital - patient room
IC,IC_PatRoom2_Flr_2 Thermal Zone,Hospital.osm,,Hospital - patient room
IC,IC_PatRoom3_Mult6_Flr_2 Thermal Zone,Hospital.osm,,Hospital - patient room
ICU,ICU_Flr_2 Thermal Zone,Hospital.osm,,Hospital - recovery
ICU,ICU_NurseStn_Lobby_Flr_2 Thermal Zone,Hospital.osm,,Hospital - nurses' station
Kitchen,Kitchen_Flr_5 Thermal Zone,Hospital.osm,Food preparation,Food preparation
Lab,Lab_Flr_3 Thermal Zone,Hospital.osm,Lab - research,Lab - research
Lab,Lab_Flr_4 Thermal Zone,Hospital.osm,Lab - research,Lab - research
Lobby,Lobby_Records_Flr_1 Thermal Zone,Hospital.osm,Lobby - other,Office - enclosed
NurseStn,NurseStn_Lobby_Flr_3 Thermal Zone,Hospital.osm,Hospital - nurses' station,Hospital - nurses' station
NurseStn,NurseStn_Lobby_Flr_4 Thermal Zone,Hospital.osm,Hospital - nurses' station,Hospital - nurses' station
NurseStn,NurseStn_Lobby_Flr_5 Thermal Zone,Hospital.osm,Hospital - nurses' station,Hospital - nurses' station
Office1,Office1_Flr_5 Thermal Zone,Hospital.osm,Office - enclosed,Office - enclosed
Office1,Office1_Mult4_Flr_1 Thermal Zone,Hospital.osm,Office - enclosed,Office - enclosed
Office2,Office2_Mult5_Flr_5 Thermal Zone,Hospital.osm,Office - enclosed,Office - enclosed
Office3,Office3_Flr_5 Thermal Zone,Hospital.osm,Office - enclosed,Office - enclosed
Office4,Office4_Mult6_Flr_5 Thermal Zone,Hospital.osm,Office - enclosed,Office - enclosed
OR,OR_NurseStn_Lobby_Flr_2 Thermal Zone,Hospital.osm,Hospital - nurses' station,Hospital - nurses' station
OR1,OR1_Flr_2 Thermal Zone,Hospital.osm,?,Hospital - operating room
OR2,OR2_Mult5_Flr_2 Thermal Zone,Hospital.osm,?,Hospital - operating room
OR3,OR3_Flr_2 Thermal Zone,Hospital.osm,?,Hospital - operating room
OR4,OR4_Flr_2 Thermal Zone,Hospital.osm,?,Hospital - operating room
PatRoom1,PatRoom1_Mult10_Flr_3 Thermal Zone,Hospital.osm,Hospital - Hospital - patient room,Hospital - patient room
PatRoom1,PatRoom1_Mult10_Flr_4 Thermal Zone,Hospital.osm,Hospital - Hospital - patient room,Hospital - patient room
PatRoom2,PatRoom2_Flr_3 Thermal Zone,Hospital.osm,Hospital - Hospital - patient room,Hospital - patient room
PatRoom2,PatRoom2_Flr_4 Thermal Zone,Hospital.osm,Hospital - Hospital - patient room,Hospital - patient room
PatRoom3,PatRoom3_Mult10_Flr_3 Thermal Zone,Hospital.osm,Hospital - Hospital - patient room,Hospital - patient room
PatRoom3,PatRoom3_Mult10_Flr_4 Thermal Zone,Hospital.osm,Hospital - Hospital - patient room,Hospital - patient room
PatRoom4,PatRoom4_Flr_3 Thermal Zone,Hospital.osm,Hospital - Hospital - patient room,Hospital - patient room
PatRoom4,PatRoom4_Flr_4 Thermal Zone,Hospital.osm,Hospital - Hospital - patient room,Hospital - patient room
PatRoom5,PatRoom5_Mult10_Flr_3 Thermal Zone,Hospital.osm,Hospital - Hospital - patient room,Hospital - patient room
PatRoom5,PatRoom5_Mult10_Flr_4 Thermal Zone,Hospital.osm,Hospital - Hospital - patient room,Hospital - patient room
PatRoom6,PatRoom6_Flr_3 Thermal Zone,Hospital.osm,Hospital - Hospital - patient room,Hospital - patient room
PatRoom6,PatRoom6_Flr_4 Thermal Zone,Hospital.osm,Hospital - Hospital - patient room,Hospital - patient room
PatRoom7,PatRoom7_Mult10_Flr_3 Thermal Zone,Hospital.osm,Hospital - Hospital - patient room,Hospital - patient room
PatRoom7,PatRoom7_Mult10_Flr_4 Thermal Zone,Hospital.osm,Hospital - Hospital - patient room,Hospital - patient room
PatRoom8,PatRoom8_Flr_3 Thermal Zone,Hospital.osm,Hospital - Hospital - patient room,Hospital - patient room
PatRoom8,PatRoom8_Flr_4 Thermal Zone,Hospital.osm,Hospital - Hospital - patient room,Hospital - patient room
PhysTherapy,PhysTherapy_Flr_3 Thermal Zone,Hospital.osm,"[""Hospital - Hospital - physical therapy""",Hospital - physical therapy
Radiology,Radiology_Flr_4 Thermal Zone,Hospital.osm,Hospital - Hospital - radiology/imaging,Hospital - radiology/imaging
,,Hospital.osm, ,
Banquet,Banquet_Flr_6 Thermal Zone,LargeHotel.osm,Hotel/Motel - dining,Hotel/Motel - dining
Basement,Basement Thermal Zone,LargeHotel.osm,?,Storage area
Cafe,Cafe_Flr_1 Thermal Zone,LargeHotel.osm,?,Retail - mall concourse
Corridor,Corridor_Flr_3 Thermal Zone,LargeHotel.osm,Corr. >= 2.4m wide,Corr. >= 2.4m wide
Corridor,Corridor_Flr_6 Thermal Zone,LargeHotel.osm,Corr. >= 2.4m wide,Corr. >= 2.4m wide
Dining,Dining_Flr_6 Thermal Zone,LargeHotel.osm,Hotel/Motel - dining,Hotel/Motel - dining
Kitchen,Kitchen_Flr_6 Thermal Zone,LargeHotel.osm,Food preparation,Food preparation
Laundry,Laundry_Flr_1 Thermal Zone,LargeHotel.osm,?,Hospital - laundry/washing
Lobby,Lobby_Flr_1 Thermal Zone,LargeHotel.osm,Lobby - other,Hotel/Motel - lobby
Mech,Mech_Flr_1 Thermal Zone,LargeHotel.osm,Electrical/Mechanical,Electrical/Mechanical
Retail,Retail_1_Flr_1 Thermal Zone,LargeHotel.osm,Retail - sales,Retail - sales
Retail,Retail_2_Flr_1 Thermal Zone,LargeHotel.osm,Retail - sales,Retail - sales
Room,Room_1_Flr_3 Thermal Zone,LargeHotel.osm,Hotel/Motel - rooms,Hotel/Motel - rooms
Room,Room_1_Flr_6 Thermal Zone,LargeHotel.osm,Hotel/Motel - rooms,Hotel/Motel - rooms
Room,Room_2_Flr_3 Thermal Zone,LargeHotel.osm,Hotel/Motel - rooms,Hotel/Motel - rooms
Room,Room_2_Flr_6 Thermal Zone,LargeHotel.osm,Hotel/Motel - rooms,Hotel/Motel - rooms
Room,Room_3_Mult19_Flr_3 Thermal Zone,LargeHotel.osm,Hotel/Motel - rooms,Hotel/Motel - rooms
Room,Room_3_Mult9_Flr_6 Thermal Zone,LargeHotel.osm,Hotel/Motel - rooms,Hotel/Motel - rooms
Room,Room_4_Mult19_Flr_3 Thermal Zone,LargeHotel.osm,Hotel/Motel - rooms,Hotel/Motel - rooms
Room,Room_5_Flr_3 Thermal Zone,LargeHotel.osm,Hotel/Motel - rooms,Hotel/Motel - rooms
Room,Room_6_Flr_3 Thermal Zone,LargeHotel.osm,Hotel/Motel - rooms,Hotel/Motel - rooms
Storage,Storage_Flr_1 Thermal Zone,LargeHotel.osm,Storage area,Storage area
,,LargeHotel.osm, ,
Basement,Basement Thermal Zone,LargeOffice.osm,?,Electrical/Mechanical
Core,Core_bottom Thermal Zone,LargeOffice.osm,Office - open plan,Office - open plan
Core,Core_mid Thermal Zone,LargeOffice.osm,Office - open plan,Office - open plan
Core,Core_top Thermal Zone,LargeOffice.osm,Office - open plan,Office - open plan
GroundFloor,GroundFloor_Plenum Thermal Zone,LargeOffice.osm,,plenums included in spaces not a separate zone
MidFloor,MidFloor_Plenum Thermal Zone,LargeOffice.osm,Office - open plan,Office - open plan
Perimeter,Perimeter_bot_ZN_1 Thermal Zone,LargeOffice.osm,Office - open plan,Office - open plan
Perimeter,Perimeter_bot_ZN_2 Thermal Zone,LargeOffice.osm,Office - open plan,Office - open plan
Perimeter,Perimeter_bot_ZN_3 Thermal Zone,LargeOffice.osm,Office - open plan,Office - open plan
Perimeter,Perimeter_bot_ZN_4 Thermal Zone,LargeOffice.osm,Office - open plan,Office - open plan
Perimeter,Perimeter_mid_ZN_1 Thermal Zone,LargeOffice.osm,Office - open plan,Office - open plan
Perimeter,Perimeter_mid_ZN_2 Thermal Zone,LargeOffice.osm,Office - open plan,Office - open plan
Perimeter,Perimeter_mid_ZN_3 Thermal Zone,LargeOffice.osm,Office - open plan,Office - open plan
Perimeter,Perimeter_mid_ZN_4 Thermal Zone,LargeOffice.osm,Office - open plan,Office - open plan
Perimeter,Perimeter_top_ZN_1 Thermal Zone,LargeOffice.osm,Office - open plan,Office - open plan
Perimeter,Perimeter_top_ZN_2 Thermal Zone,LargeOffice.osm,Office - open plan,Office - open plan
Perimeter,Perimeter_top_ZN_3 Thermal Zone,LargeOffice.osm,Office - open plan,Office - open plan
Perimeter,Perimeter_top_ZN_4 Thermal Zone,LargeOffice.osm,Office - open plan,Office - open plan
TopFloor,TopFloor_Plenum Thermal Zone,LargeOffice.osm,?,plenums included in spaces not a separate zone
,,LargeOffice.osm, ,
Core,Core_bottom Thermal Zone,MediumOffice.osm,Office - open plan,Office - open plan
Core,Core_mid Thermal Zone,MediumOffice.osm,Office - open plan,Office - open plan
Core,Core_top Thermal Zone,MediumOffice.osm,Office - open plan,Office - open plan
FirstFloor,FirstFloor_Plenum Thermal Zone,MediumOffice.osm,?,plenums included in spaces not a separate zone
MidFloor,MidFloor_Plenum Thermal Zone,MediumOffice.osm,Office - open plan,Office - open plan
Perimeter,Perimeter_bot_ZN_1 Thermal Zone,MediumOffice.osm,Office - open plan,Office - open plan
Perimeter,Perimeter_bot_ZN_2 Thermal Zone,MediumOffice.osm,Office - open plan,Office - open plan
Perimeter,Perimeter_bot_ZN_3 Thermal Zone,MediumOffice.osm,Office - open plan,Office - open plan
Perimeter,Perimeter_bot_ZN_4 Thermal Zone,MediumOffice.osm,Office - open plan,Office - open plan
Perimeter,Perimeter_mid_ZN_1 Thermal Zone,MediumOffice.osm,Office - open plan,Office - open plan
Perimeter,Perimeter_mid_ZN_2 Thermal Zone,MediumOffice.osm,Office - open plan,Office - open plan
Perimeter,Perimeter_mid_ZN_3 Thermal Zone,MediumOffice.osm,Office - open plan,Office - open plan
Perimeter,Perimeter_mid_ZN_4 Thermal Zone,MediumOffice.osm,Office - open plan,Office - open plan
Perimeter,Perimeter_top_ZN_1 Thermal Zone,MediumOffice.osm,Office - open plan,Office - open plan
Perimeter,Perimeter_top_ZN_2 Thermal Zone,MediumOffice.osm,Office - open plan,Office - open plan
Perimeter,Perimeter_top_ZN_3 Thermal Zone,MediumOffice.osm,Office - open plan,Office - open plan
Perimeter,Perimeter_top_ZN_4 Thermal Zone,MediumOffice.osm,Office - open plan,Office - open plan
TopFloor,TopFloor_Plenum Thermal Zone,MediumOffice.osm,?,plenums included in spaces not a separate zone
,,MediumOffice.osm, ,
G Corridor,G Corridor Thermal Zone,MidriseApartment.osm,,Corr. < 2.4m wide
G N1 Apartment,G N1 Apartment Thermal Zone,MidriseApartment.osm,,Dormitory - living quarters
G N2 Apartment,G N2 Apartment Thermal Zone,MidriseApartment.osm,,Dormitory - living quarters
G NE Apartment,G NE Apartment Thermal Zone,MidriseApartment.osm,,Dormitory - living quarters
G NW Apartment,G NW Apartment Thermal Zone,MidriseApartment.osm,,Dormitory - living quarters
G S1 Apartment,G S1 Apartment Thermal Zone,MidriseApartment.osm,,Dormitory - living quarters
G S2 Apartment,G S2 Apartment Thermal Zone,MidriseApartment.osm,,Dormitory - living quarters
G SW Apartment,G SW Apartment Thermal Zone,MidriseApartment.osm,,Dormitory - living quarters
M Corridor,M Corridor Thermal Zone,MidriseApartment.osm,Corr. < 2.4m wide,Corr. < 2.4m wide
M N1 Apartment,M N1 Apartment Thermal Zone,MidriseApartment.osm,Dwelling Unit(s),Dormitory - living quarters
M N2 Apartment,M N2 Apartment Thermal Zone,MidriseApartment.osm,Dwelling Unit(s),Dormitory - living quarters
M NE Apartment,M NE Apartment Thermal Zone,MidriseApartment.osm,Dwelling Unit(s),Dormitory - living quarters
M NW Apartment,M NW Apartment Thermal Zone,MidriseApartment.osm,Dwelling Unit(s),Dormitory - living quarters
M S1 Apartment,M S1 Apartment Thermal Zone,MidriseApartment.osm,Dwelling Unit(s),Dormitory - living quarters
M S2 Apartment,M S2 Apartment Thermal Zone,MidriseApartment.osm,Dwelling Unit(s),Dormitory - living quarters
M SE Apartment,M SE Apartment Thermal Zone,MidriseApartment.osm,Dwelling Unit(s),Dormitory - living quarters
M SW Apartment,M SW Apartment Thermal Zone,MidriseApartment.osm,Dwelling Unit(s),Dormitory - living quarters
Office,Office Thermal Zone,MidriseApartment.osm,Office - enclosed,Office - enclosed
T Corridor,T Corridor Thermal Zone,MidriseApartment.osm,Corr. < 2.4m wide,Corr. < 2.4m wide
T N1 Apartment,T N1 Apartment Thermal Zone,MidriseApartment.osm,Dwelling Unit(s),Dormitory - living quarters
T N2 Apartment,T N2 Apartment Thermal Zone,MidriseApartment.osm,Dwelling Unit(s),Dormitory - living quarters
T NE Apartment,T NE Apartment Thermal Zone,MidriseApartment.osm,Dwelling Unit(s),Dormitory - living quarters
T NW Apartment,T NW Apartment Thermal Zone,MidriseApartment.osm,Dwelling Unit(s),Dormitory - living quarters
T S1 Apartment,T S1 Apartment Thermal Zone,MidriseApartment.osm,Dwelling Unit(s),Dormitory - living quarters
T S2 Apartment,T S2 Apartment Thermal Zone,MidriseApartment.osm,Dwelling Unit(s),Dormitory - living quarters
T SE Apartment,T SE Apartment Thermal Zone,MidriseApartment.osm,Dwelling Unit(s),Dormitory - living quarters
T SW Apartment,T SW Apartment Thermal Zone,MidriseApartment.osm,Dwelling Unit(s),Dormitory - living quarters
,,MidriseApartment.osm, ,
Floor 1 Anesthesia,Floor 1 Anesthesia Thermal Zone,OutPatient.osm,?,
Floor 1 Bio Haz,Floor 1 Bio Haz Thermal Zone,OutPatient.osm,?,
Floor 1 Cafe,Floor 1 Cafe Thermal Zone,OutPatient.osm,?,
Floor 1 Clean,Floor 1 Clean Thermal Zone,OutPatient.osm,?,
Floor 1 Clean Work,Floor 1 Clean Work Thermal Zone,OutPatient.osm,?,
Floor 1 Dictation,Floor 1 Dictation Thermal Zone,OutPatient.osm,?,
Floor 1 Dressing Room,Floor 1 Dressing Room Thermal Zone,OutPatient.osm,?,
Floor 1 Electrical Room,Floor 1 Electrical Room Thermal Zone,OutPatient.osm,Electrical/Mechanical,
Floor 1 Elevator Pump Room,Floor 1 Elevator Pump Room Thermal Zone,OutPatient.osm,?,
Floor 1 Hospital - operating room 1,Floor 1 Hospital - operating room 1 Thermal Zone,OutPatient.osm,Hospital - Hospital - operating room,
Floor 1 Hospital - operating room 2,Floor 1 Hospital - operating room 2 Thermal Zone,OutPatient.osm,Hospital - Hospital - operating room,
Floor 1 Hospital - operating room 3,Floor 1 Hospital - operating room 3 Thermal Zone,OutPatient.osm,Hospital - Hospital - operating room,
Floor 1 Humid,Floor 1 Humid Thermal Zone,OutPatient.osm,?,
Floor 1 IT Hall,Floor 1 IT Hall Thermal Zone,OutPatient.osm,?,
Floor 1 IT Room,Floor 1 IT Room Thermal Zone,OutPatient.osm,?,
Floor 1 Lobby Hall,Floor 1 Lobby Hall Thermal Zone,OutPatient.osm,?,
Floor 1 Lobby,Floor 1 Lobby Thermal Zone,OutPatient.osm,?,
Floor 1 Lobby Toilet,Floor 1 Lobby Toilet Thermal Zone,OutPatient.osm,?,
Floor 1 Locker Room Hall,Floor 1 Locker Room Hall Thermal Zone,OutPatient.osm,Locker room,
Floor 1 Locker Room,Floor 1 Locker Room Thermal Zone,OutPatient.osm,?,
Floor 1 Lounge,Floor 1 Lounge Thermal Zone,OutPatient.osm,Lounge/recreation,
Floor 1 Med Gas,Floor 1 Med Gas Thermal Zone,OutPatient.osm,?,
Floor 1 MRI Control Room,Floor 1 MRI Control Room Thermal Zone,OutPatient.osm,?,
Floor 1 MRI Hall,Floor 1 MRI Hall Thermal Zone,OutPatient.osm,?,
Floor 1 MRI Room,Floor 1 MRI Room Thermal Zone,OutPatient.osm,?,
Floor 1 MRI Toilet,Floor 1 MRI Toilet Thermal Zone,OutPatient.osm,Washroom,
Floor 1 Nourishment,Floor 1 Nourishment Thermal Zone,OutPatient.osm,?,
Floor 1 Nurse Hall,Floor 1 Nurse Hall Thermal Zone,OutPatient.osm,?,
Floor 1 Nurse Janitor,Floor 1 Nurse Janitor Thermal Zone,OutPatient.osm,?,
Floor 1 Nurse Station,Floor 1 Nurse Station Thermal Zone,OutPatient.osm,Hospital - nurses' station,
Floor 1 Nurse Toilet,Floor 1 Nurse Toilet Thermal Zone,OutPatient.osm,Washroom,
Floor 1 Office,Floor 1 Office Thermal Zone,OutPatient.osm,Office - enclosed,
Floor 1 PACU,Floor 1 PACU Thermal Zone,OutPatient.osm,?,
Floor 1 Pre-Op Hall,Floor 1 Pre-Op Hall Thermal Zone,OutPatient.osm,?,
Floor 1 Pre-Op Room 1,Floor 1 Pre-Op Room 1 Thermal Zone,OutPatient.osm,?,
Floor 1 Pre-Op Room 2,Floor 1 Pre-Op Room 2 Thermal Zone,OutPatient.osm,?,
Floor 1 Pre-Op Toilet,Floor 1 Pre-Op Toilet Thermal Zone,OutPatient.osm,Washroom,
Floor 1 Procedure Room,Floor 1 Procedure Room Thermal Zone,OutPatient.osm,?,
Floor 1 Reception Hall,Floor 1 Reception Hall Thermal Zone,OutPatient.osm,?,
Floor 1 Reception,Floor 1 Reception Thermal Zone,OutPatient.osm,?,
Floor 1 Hospital - recovery Room,Floor 1 Hospital - recovery Room Thermal Zone,OutPatient.osm,Hospital - Hospital - recovery,
Floor 1 Scheduling,Floor 1 Scheduling Thermal Zone,OutPatient.osm,?,
Floor 1 Scrub,Floor 1 Scrub Thermal Zone,OutPatient.osm,?,
Floor 1 Soil Hold,Floor 1 Soil Hold Thermal Zone,OutPatient.osm,?,
Floor 1 Soil,Floor 1 Soil Thermal Zone,OutPatient.osm,?,
Floor 1 Soil Work,Floor 1 Soil Work Thermal Zone,OutPatient.osm,?,
Floor 1 Step Down,Floor 1 Step Down Thermal Zone,OutPatient.osm,?,
Floor 1 Sterile Hall,Floor 1 Sterile Hall Thermal Zone,OutPatient.osm,?,
Floor 1 Sterile Storage,Floor 1 Sterile Storage Thermal Zone,OutPatient.osm,?,
Floor 1 Storage,Floor 1 Storage Thermal Zone,OutPatient.osm,Storage area,
Floor 1 Sub-Sterile,Floor 1 Sub-Sterile Thermal Zone,OutPatient.osm,?,
Floor 1 Utility Hall,Floor 1 Utility Hall Thermal Zone,OutPatient.osm,?,
Floor 1 Utility Janitor,Floor 1 Utility Janitor Thermal Zone,OutPatient.osm,?,
Floor 1 Utility Room,Floor 1 Utility Room Thermal Zone,OutPatient.osm,?,
Floor 1 Vestibule,Floor 1 Vestibule Thermal Zone,OutPatient.osm,?,
Floor 2 Conference,Floor 2 Conference Thermal Zone,OutPatient.osm,Conf./meet./multi-purpose,
Floor 2 Conference Toilet,Floor 2 Conference Toilet Thermal Zone,OutPatient.osm,Washroom,
Floor 2 Dictation,Floor 2 Dictation Thermal Zone,OutPatient.osm,?,
Floor 2 Exam 1,Floor 2 Exam 1 Thermal Zone,OutPatient.osm,Hospital - exam,
Floor 2 Exam 2,Floor 2 Exam 2 Thermal Zone,OutPatient.osm,Hospital - exam,
Floor 2 Exam 3,Floor 2 Exam 3 Thermal Zone,OutPatient.osm,Hospital - exam,
Floor 2 Exam 4,Floor 2 Exam 4 Thermal Zone,OutPatient.osm,Hospital - exam,
Floor 2 Exam 5,Floor 2 Exam 5 Thermal Zone,OutPatient.osm,Hospital - exam,
Floor 2 Exam 6,Floor 2 Exam 6 Thermal Zone,OutPatient.osm,Hospital - exam,
Floor 2 Exam 7,Floor 2 Exam 7 Thermal Zone,OutPatient.osm,Hospital - exam,
Floor 2 Exam 8,Floor 2 Exam 8 Thermal Zone,OutPatient.osm,Hospital - exam,
Floor 2 Exam 9,Floor 2 Exam 9 Thermal Zone,OutPatient.osm,Hospital - exam,
Floor 2 Exam Hall 1,Floor 2 Exam Hall 1 Thermal Zone,OutPatient.osm,Hospital - exam,
Floor 2 Exam Hall 2,Floor 2 Exam Hall 2 Thermal Zone,OutPatient.osm,Hospital - exam,
Floor 2 Exam Hall 3,Floor 2 Exam Hall 3 Thermal Zone,OutPatient.osm,Hospital - exam,
Floor 2 Exam Hall 4,Floor 2 Exam Hall 4 Thermal Zone,OutPatient.osm,Hospital - exam,
Floor 2 Exam Hall 5,Floor 2 Exam Hall 5 Thermal Zone,OutPatient.osm,Hospital - exam,
Floor 2 Exam Hall 6,Floor 2 Exam Hall 6 Thermal Zone,OutPatient.osm,Hospital - exam,
Floor 2 Janitor,Floor 2 Janitor Thermal Zone,OutPatient.osm,?,
Floor 2 Lounge,Floor 2 Lounge Thermal Zone,OutPatient.osm,"""Lounge/recreation""",
Floor 2 Nurse Station 1,Floor 2 Nurse Station 1 Thermal Zone,OutPatient.osm,Hospital - nurses' station,
