attic,attic Thermal Zone,FullServiceRestaurant.osm,?,note: we include the attic zone as part of each of the food and dining zones
Floor 2 Nurse Station 2,Floor 2 Nurse Station 2 Thermal Zone,OutPatient.osm,Hospital - nurses' station,
Floor 2 Office Hall,Floor 2 Office Hall Thermal Zone,OutPatient.osm,Office - enclosed,
Floor 2 Office,Floor 2 Office Thermal Zone,OutPatient.osm,Office - enclosed,
Floor 2 Reception Hall,Floor 2 Reception Hall Thermal Zone,OutPatient.osm,?,
Floor 2 Reception,Floor 2 Reception Thermal Zone,OutPatient.osm,?,
Floor 2 Reception Toilet,Floor 2 Reception Toilet Thermal Zone,OutPatient.osm,Washroom,
Floor 2 Scheduling 1,Floor 2 Scheduling 1 Thermal Zone,OutPatient.osm,?,
Floor 2 Scheduling 2,Floor 2 Scheduling 2 Thermal Zone,OutPatient.osm,?,
Floor 2 Storage 1,Floor 2 Storage 1 Thermal Zone,OutPatient.osm,Storage area,
Floor 2 Storage 2,Floor 2 Storage 2 Thermal Zone,OutPatient.osm,Storage area,
Floor 2 Storage 3,Floor 2 Storage 3 Thermal Zone,OutPatient.osm,Storage area,
Floor 2 Utility,Floor 2 Utility Thermal Zone,OutPatient.osm,?,
Floor 2 Work Hall,Floor 2 Work Hall Thermal Zone,OutPatient.osm,?,
Floor 2 Work,Floor 2 Work Thermal Zone,OutPatient.osm,?,
Floor 2 Work Toilet,Floor 2 Work Toilet Thermal Zone,OutPatient.osm,Washroom,
Floor 2 X-Ray,Floor 2 X-Ray Thermal Zone,OutPatient.osm,?,
Floor 3 Dressing Room,Floor 3 Dressing Room Thermal Zone,OutPatient.osm,?,
Floor 3 Elevator Hall,Floor 3 Elevator Hall Thermal Zone,OutPatient.osm,?,
Floor 3 Humid,Floor 3 Humid Thermal Zone,OutPatient.osm,?,
Floor 3 Janitor,Floor 3 Janitor Thermal Zone,OutPatient.osm,?,
Floor 3 Locker,Floor 3 Locker Thermal Zone,OutPatient.osm,Locker room,
Floor 3 Lounge,Floor 3 Lounge Thermal Zone,OutPatient.osm,Lounge/recreation,
Floor 3 Lounge Toilet,Floor 3 Lounge Toilet Thermal Zone,OutPatient.osm,Washroom,
Floor 3 Mechanical Hall,Floor 3 Mechanical Hall Thermal Zone,OutPatient.osm,?,
Floor 3 Mechanical,Floor 3 Mechanical Thermal Zone,OutPatient.osm,Electrical/Mechanical,
Floor 3 Office Hall,Floor 3 Office Hall Thermal Zone,OutPatient.osm,?,
Floor 3 Office,Floor 3 Office Thermal Zone,OutPatient.osm,Office - enclosed,
Floor 3 Office Toilet,Floor 3 Office Toilet Thermal Zone,OutPatient.osm,Washroom,
Floor 3 Hospital - physical therapy 1,Floor 3 Hospital - physical therapy 1 Thermal Zone,OutPatient.osm,Hospital - Hospital - physical therapy,
Floor 3 Hospital - physical therapy 2,Floor 3 Hospital - physical therapy 2 Thermal Zone,OutPatient.osm,Hospital - Hospital - physical therapy,
Floor 3 Hospital - physical therapy Toilet,Floor 3 Hospital - physical therapy Toilet Thermal Zone,OutPatient.osm,Hospital - Hospital - physical therapy,
Floor 3 Storage 1,Floor 3 Storage 1 Thermal Zone,OutPatient.osm,Storage area,
Floor 3 Storage 2,Floor 3 Storage 2 Thermal Zone,OutPatient.osm,Storage area,
Floor 3 Treatment,Floor 3 Treatment Thermal Zone,OutPatient.osm,?,
Floor 3 Undeveloped 1,Floor 3 Undeveloped 1 Thermal Zone,OutPatient.osm,?,
Floor 3 Undeveloped 2,Floor 3 Undeveloped 2 Thermal Zone,OutPatient.osm,?,
Floor 3 Utility,Floor 3 Utility Thermal Zone,OutPatient.osm,?,
Floor 3 Work,Floor 3 Work Thermal Zone,OutPatient.osm,?,
NE Stair,NE Stair Thermal Zone,OutPatient.osm,Stairway,
NW Elevator,NW Elevator Thermal Zone,OutPatient.osm,?,
NW Stair,NW Stair Thermal Zone,OutPatient.osm,Stairway,
SW Stair,SW Stair Thermal Zone,OutPatient.osm,Stairway,
,,OutPatient.osm, ,
Bath,Bath_ZN_1_FLR_1 Thermal Zone,PrimarySchool.osm,Washroom,Washroom
Cafeteria,Cafeteria_ZN_1_FLR_1 Thermal Zone,PrimarySchool.osm,?,Conf./meet./multi-purpose
Computer,Computer_Class_ZN_1_FLR_1 Thermal Zone,PrimarySchool.osm,Lab - classrooms,Lab - classrooms
Corner,Corner_Class_1_Pod_1_ZN_1_FLR_1 Thermal Zone,PrimarySchool.osm,Classroom/lecture/training,Classroom/lecture/training
Corner,Corner_Class_1_Pod_2_ZN_1_FLR_1 Thermal Zone,PrimarySchool.osm,Classroom/lecture/training,Classroom/lecture/training
Corner,Corner_Class_1_Pod_3_ZN_1_FLR_1 Thermal Zone,PrimarySchool.osm,Classroom/lecture/training,Classroom/lecture/training
Corner,Corner_Class_2_Pod_1_ZN_1_FLR_1 Thermal Zone,PrimarySchool.osm,Classroom/lecture/training,Classroom/lecture/training
Corner,Corner_Class_2_Pod_2_ZN_1_FLR_1 Thermal Zone,PrimarySchool.osm,Classroom/lecture/training,Classroom/lecture/training
Corner,Corner_Class_2_Pod_3_ZN_1_FLR_1 Thermal Zone,PrimarySchool.osm,Classroom/lecture/training,Classroom/lecture/training
Corridor,Corridor_Pod_1_ZN_1_FLR_1 Thermal Zone,PrimarySchool.osm,Corr. >= 2.4m wide,Corr. >= 2.4m wide
Corridor,Corridor_Pod_2_ZN_1_FLR_1 Thermal Zone,PrimarySchool.osm,Corr. >= 2.4m wide,Corr. >= 2.4m wide
Corridor,Corridor_Pod_3_ZN_1_FLR_1 Thermal Zone,PrimarySchool.osm,Corr. >= 2.4m wide,Corr. >= 2.4m wide
Gym,Gym_ZN_1_FLR_1 Thermal Zone,PrimarySchool.osm,Gym - play,Gym - play
Kitchen,Kitchen_ZN_1_FLR_1 Thermal Zone,PrimarySchool.osm,Food preparation,Food preparation
Library,Library_Media_Center_ZN_1_FLR_1 Thermal Zone,PrimarySchool.osm,Library - reading,Library - reading
Lobby,Lobby_ZN_1_FLR_1 Thermal Zone,PrimarySchool.osm,Lobby - other,Lobby - elevator
Main,Main_Corridor_ZN_1_FLR_1 Thermal Zone,PrimarySchool.osm,Corr. >= 2.4m wide,Corr. >= 2.4m wide
Mech,Mech_ZN_1_FLR_1 Thermal Zone,PrimarySchool.osm,Electrical/Mechanical,Electrical/Mechanical
Mult,Mult_Class_1_Pod_1_ZN_1_FLR_1 Thermal Zone,PrimarySchool.osm,Classroom/lecture/training,Classroom/lecture/training
Mult,Mult_Class_1_Pod_2_ZN_1_FLR_1 Thermal Zone,PrimarySchool.osm,Classroom/lecture/training,Classroom/lecture/training
Mult,Mult_Class_1_Pod_3_ZN_1_FLR_1 Thermal Zone,PrimarySchool.osm,Classroom/lecture/training,Classroom/lecture/training
Mult,Mult_Class_2_Pod_1_ZN_1_FLR_1 Thermal Zone,PrimarySchool.osm,Classroom/lecture/training,Classroom/lecture/training
Mult,Mult_Class_2_Pod_2_ZN_1_FLR_1 Thermal Zone,PrimarySchool.osm,Classroom/lecture/training,Classroom/lecture/training
Mult,Mult_Class_2_Pod_3_ZN_1_FLR_1 Thermal Zone,PrimarySchool.osm,Classroom/lecture/training,Classroom/lecture/training
Offices,Offices_ZN_1_FLR_1 Thermal Zone,PrimarySchool.osm,Office - enclosed,Office - enclosed
,,PrimarySchool.osm, ,
attic,attic Thermal Zone,QuickServiceRestaurant.osm,?,plenum included in spaces not a separate zone
Dining,Dining Thermal Zone,QuickServiceRestaurant.osm,Dining - other,Dining - bar lounge/leisure
Kitchen,Kitchen Thermal Zone,QuickServiceRestaurant.osm,Food preparation,Food preparation
,,QuickServiceRestaurant.osm, ,
Auditorium,Auditorium_ZN_1_FLR_1 Thermal Zone,SecondarySchool.osm,Audience - auditorium,Audience - auditorium
Aux,Aux_Gym_ZN_1_FLR_1 Thermal Zone,SecondarySchool.osm,Gym - audience,Gym - play
Bathrooms,Bathrooms_ZN_1_FLR_1 Thermal Zone,SecondarySchool.osm,Washroom,Washroom
Bathrooms,Bathrooms_ZN_1_FLR_2 Thermal Zone,SecondarySchool.osm,Washroom,Washroom
Cafeteria,Cafeteria_ZN_1_FLR_1 Thermal Zone,SecondarySchool.osm,?,Conf./meet./multi-purpose
Corner,Corner_Class_1_Pod_1_ZN_1_FLR_1 Thermal Zone,SecondarySchool.osm,Classroom/lecture/training,Classroom/lecture/training
Corner,Corner_Class_1_Pod_1_ZN_1_FLR_2 Thermal Zone,SecondarySchool.osm,Classroom/lecture/training,Classroom/lecture/training
Corner,Corner_Class_1_Pod_2_ZN_1_FLR_1 Thermal Zone,SecondarySchool.osm,Classroom/lecture/training,Classroom/lecture/training
Corner,Corner_Class_1_Pod_2_ZN_1_FLR_2 Thermal Zone,SecondarySchool.osm,Classroom/lecture/training,Classroom/lecture/training
Corner,Corner_Class_1_Pod_3_ZN_1_FLR_1 Thermal Zone,SecondarySchool.osm,Classroom/lecture/training,Classroom/lecture/training
Corner,Corner_Class_1_Pod_3_ZN_1_FLR_2 Thermal Zone,SecondarySchool.osm,Classroom/lecture/training,Classroom/lecture/training
Corner,Corner_Class_2_Pod_1_ZN_1_FLR_1 Thermal Zone,SecondarySchool.osm,Classroom/lecture/training,Classroom/lecture/training
Corner,Corner_Class_2_Pod_1_ZN_1_FLR_2 Thermal Zone,SecondarySchool.osm,Classroom/lecture/training,Classroom/lecture/training
Corner,Corner_Class_2_Pod_2_ZN_1_FLR_1 Thermal Zone,SecondarySchool.osm,Classroom/lecture/training,Classroom/lecture/training
Corner,Corner_Class_2_Pod_2_ZN_1_FLR_2 Thermal Zone,SecondarySchool.osm,Classroom/lecture/training,Classroom/lecture/training
Corner,Corner_Class_2_Pod_3_ZN_1_FLR_1 Thermal Zone,SecondarySchool.osm,Classroom/lecture/training,Classroom/lecture/training
Corner,Corner_Class_2_Pod_3_ZN_1_FLR_2 Thermal Zone,SecondarySchool.osm,Classroom/lecture/training,Classroom/lecture/training
Corridor,Corridor_Pod_1_ZN_1_FLR_1 Thermal Zone,SecondarySchool.osm,Corr. >= 2.4m wide,Corr. >= 2.4m wide
Corridor,Corridor_Pod_1_ZN_1_FLR_2 Thermal Zone,SecondarySchool.osm,Corr. >= 2.4m wide,Corr. >= 2.4m wide
Corridor,Corridor_Pod_2_ZN_1_FLR_1 Thermal Zone,SecondarySchool.osm,Corr. >= 2.4m wide,Corr. >= 2.4m wide
Corridor,Corridor_Pod_2_ZN_1_FLR_2 Thermal Zone,SecondarySchool.osm,Corr. >= 2.4m wide,Corr. >= 2.4m wide
Corridor,Corridor_Pod_3_ZN_1_FLR_1 Thermal Zone,SecondarySchool.osm,Corr. >= 2.4m wide,Corr. >= 2.4m wide
Corridor,Corridor_Pod_3_ZN_1_FLR_2 Thermal Zone,SecondarySchool.osm,Corr. >= 2.4m wide,Corr. >= 2.4m wide
Gym,Gym_ZN_1_FLR_1 Thermal Zone,SecondarySchool.osm,Gym - play,Gym - play
Kitchen,Kitchen_ZN_1_FLR_1 Thermal Zone,SecondarySchool.osm,Food preparation,Food preparation
LIBRARY,LIBRARY_MEDIA_CENTER_ZN_1_FLR_2 Thermal Zone,SecondarySchool.osm,Library - reading,Library - reading
Lobby,Lobby_ZN_1_FLR_1 Thermal Zone,SecondarySchool.osm,Lobby - other,Lobby - elevator
Lobby,Lobby_ZN_1_FLR_2 Thermal Zone,SecondarySchool.osm,Lobby - other,Lobby - elevator
Main,Main_Corridor_ZN_1_FLR_1 Thermal Zone,SecondarySchool.osm,Corr. >= 2.4m wide,Corr. >= 2.4m wide
Main,Main_Corridor_ZN_1_FLR_2 Thermal Zone,SecondarySchool.osm,Corr. >= 2.4m wide,Corr. >= 2.4m wide
Mech,Mech_ZN_1_FLR_1 Thermal Zone,SecondarySchool.osm,Electrical/Mechanical,Electrical/Mechanical
Mech,Mech_ZN_1_FLR_2 Thermal Zone,SecondarySchool.osm,Electrical/Mechanical,Electrical/Mechanical
Mult,Mult_Class_1_Pod_1_ZN_1_FLR_1 Thermal Zone,SecondarySchool.osm,Classroom/lecture/training,Classroom/lecture/training
Mult,Mult_Class_1_Pod_1_ZN_1_FLR_2 Thermal Zone,SecondarySchool.osm,Classroom/lecture/training,Classroom/lecture/training
Mult,Mult_Class_1_Pod_2_ZN_1_FLR_1 Thermal Zone,SecondarySchool.osm,Classroom/lecture/training,Classroom/lecture/training
Mult,Mult_Class_1_Pod_2_ZN_1_FLR_2 Thermal Zone,SecondarySchool.osm,Classroom/lecture/training,Classroom/lecture/training
Mult,Mult_Class_1_Pod_3_ZN_1_FLR_1 Thermal Zone,SecondarySchool.osm,Classroom/lecture/training,Classroom/lecture/training
Mult,Mult_Class_1_Pod_3_ZN_1_FLR_2 Thermal Zone,SecondarySchool.osm,Classroom/lecture/training,Classroom/lecture/training
Mult,Mult_Class_2_Pod_1_ZN_1_FLR_1 Thermal Zone,SecondarySchool.osm,Classroom/lecture/training,Classroom/lecture/training
Mult,Mult_Class_2_Pod_1_ZN_1_FLR_2 Thermal Zone,SecondarySchool.osm,Classroom/lecture/training,Classroom/lecture/training
Mult,Mult_Class_2_Pod_2_ZN_1_FLR_1 Thermal Zone,SecondarySchool.osm,Classroom/lecture/training,Classroom/lecture/training
Mult,Mult_Class_2_Pod_2_ZN_1_FLR_2 Thermal Zone,SecondarySchool.osm,Classroom/lecture/training,Classroom/lecture/training
Mult,Mult_Class_2_Pod_3_ZN_1_FLR_1 Thermal Zone,SecondarySchool.osm,Classroom/lecture/training,Classroom/lecture/training
Mult,Mult_Class_2_Pod_3_ZN_1_FLR_2 Thermal Zone,SecondarySchool.osm,Classroom/lecture/training,Classroom/lecture/training
Offices,Offices_ZN_1_FLR_1 Thermal Zone,SecondarySchool.osm,Office - enclosed,Office - enclosed
Offices,Offices_ZN_1_FLR_2 Thermal Zone,SecondarySchool.osm,Office - enclosed,Office - enclosed
,,SecondarySchool.osm, ,
CorridorFlr1,CorridorFlr1 Thermal Zone,SmallHotel.osm,Corr. >= 2.4m wide,Corr. >= 2.4m wide
CorridorFlr2,CorridorFlr2 Thermal Zone,SmallHotel.osm,Corr. >= 2.4m wide,Corr. >= 2.4m wide
CorridorFlr3,CorridorFlr3 Thermal Zone,SmallHotel.osm,Corr. >= 2.4m wide,Corr. >= 2.4m wide
CorridorFlr4,CorridorFlr4 Thermal Zone,SmallHotel.osm,Corr. >= 2.4m wide,Corr. >= 2.4m wide
ElevatorCoreFlr1,ElevatorCoreFlr1 Thermal Zone,SmallHotel.osm,?,Lobby - elevator
ElevatorCoreFlr2,ElevatorCoreFlr2 Thermal Zone,SmallHotel.osm,?,Lobby - elevator
ElevatorCoreFlr3,ElevatorCoreFlr3 Thermal Zone,SmallHotel.osm,?,Lobby - elevator
ElevatorCoreFlr4,ElevatorCoreFlr4 Thermal Zone,SmallHotel.osm,?,Lobby - elevator
EmployeeLoungeFlr1,EmployeeLoungeFlr1 Thermal Zone,SmallHotel.osm,Lounge/recreation,Lounge/recreation
ExerciseCenterFlr1,ExerciseCenterFlr1 Thermal Zone,SmallHotel.osm,Gym - fitness,Gym - fitness
FrontLoungeFlr1,FrontLoungeFlr1 Thermal Zone,SmallHotel.osm,,Hotel/Motel - lobby
FrontOfficeFlr1,FrontOfficeFlr1 Thermal Zone,SmallHotel.osm,,Office - enclosed
FrontStairsFlr1,FrontStairsFlr1 Thermal Zone,SmallHotel.osm,,Stairway
FrontStairsFlr2,FrontStairsFlr2 Thermal Zone,SmallHotel.osm,,Stairway
FrontStairsFlr3,FrontStairsFlr3 Thermal Zone,SmallHotel.osm,,Stairway
FrontStairsFlr4,FrontStairsFlr4 Thermal Zone,SmallHotel.osm,,Stairway
FrontStorageFlr1,FrontStorageFlr1 Thermal Zone,SmallHotel.osm,,Storage area
FrontStorageFlr2,FrontStorageFlr2 Thermal Zone,SmallHotel.osm,,Storage area
FrontStorageFlr3,FrontStorageFlr3 Thermal Zone,SmallHotel.osm,,Storage area
FrontStorageFlr4,FrontStorageFlr4 Thermal Zone,SmallHotel.osm,,Storage area
GuestRoom101,GuestRoom101 Thermal Zone,SmallHotel.osm,Hotel/Motel - rooms,Hway lodging - rooms
GuestRoom102,GuestRoom102 Thermal Zone,SmallHotel.osm,Hotel/Motel - rooms,Hway lodging - rooms
GuestRoom103,GuestRoom103 Thermal Zone,SmallHotel.osm,Hotel/Motel - rooms,Hway lodging - rooms
GuestRoom104,GuestRoom104 Thermal Zone,SmallHotel.osm,Hotel/Motel - rooms,Hway lodging - rooms
GuestRoom105,GuestRoom105 Thermal Zone,SmallHotel.osm,Hotel/Motel - rooms,Hway lodging - rooms
GuestRoom201,GuestRoom201 Thermal Zone,SmallHotel.osm,Hotel/Motel - rooms,Hway lodging - rooms
GuestRoom202,GuestRoom202_205 Thermal Zone,SmallHotel.osm,Hotel/Motel - rooms,Hway lodging - rooms
GuestRoom206,GuestRoom206_208 Thermal Zone,SmallHotel.osm,Hotel/Motel - rooms,Hway lodging - rooms
GuestRoom209,GuestRoom209_212 Thermal Zone,SmallHotel.osm,Hotel/Motel - rooms,Hway lodging - rooms
GuestRoom213,GuestRoom213 Thermal Zone,SmallHotel.osm,Hotel/Motel - rooms,Hway lodging - rooms
GuestRoom214,GuestRoom214 Thermal Zone,SmallHotel.osm,Hotel/Motel - rooms,Hway lodging - rooms
GuestRoom215,GuestRoom215_218 Thermal Zone,SmallHotel.osm,Hotel/Motel - rooms,Hway lodging - rooms
GuestRoom219,GuestRoom219 Thermal Zone,SmallHotel.osm,Hotel/Motel - rooms,Hway lodging - rooms
GuestRoom220,GuestRoom220_223 Thermal Zone,SmallHotel.osm,Hotel/Motel - rooms,Hway lodging - rooms
GuestRoom224,GuestRoom224 Thermal Zone,SmallHotel.osm,Hotel/Motel - rooms,Hway lodging - rooms
GuestRoom301,GuestRoom301 Thermal Zone,SmallHotel.osm,Hotel/Motel - rooms,Hway lodging - rooms
GuestRoom302,GuestRoom302_305 Thermal Zone,SmallHotel.osm,Hotel/Motel - rooms,Hway lodging - rooms
GuestRoom306,GuestRoom306_308 Thermal Zone,SmallHotel.osm,Hotel/Motel - rooms,Hway lodging - rooms
GuestRoom309,GuestRoom309_312 Thermal Zone,SmallHotel.osm,Hotel/Motel - rooms,Hway lodging - rooms
GuestRoom313,GuestRoom313 Thermal Zone,SmallHotel.osm,Hotel/Motel - rooms,Hway lodging - rooms
GuestRoom314,GuestRoom314 Thermal Zone,SmallHotel.osm,Hotel/Motel - rooms,Hway lodging - rooms
GuestRoom315,GuestRoom315_318 Thermal Zone,SmallHotel.osm,Hotel/Motel - rooms,Hway lodging - rooms
GuestRoom319,GuestRoom319 Thermal Zone,SmallHotel.osm,Hotel/Motel - rooms,Hway lodging - rooms
GuestRoom320,GuestRoom320_323 Thermal Zone,SmallHotel.osm,Hotel/Motel - rooms,Hway lodging - rooms
GuestRoom324,GuestRoom324 Thermal Zone,SmallHotel.osm,Hotel/Motel - rooms,Hway lodging - rooms
GuestRoom401,GuestRoom401 Thermal Zone,SmallHotel.osm,Hotel/Motel - rooms,Hway lodging - rooms
GuestRoom402,GuestRoom402_405 Thermal Zone,SmallHotel.osm,Hotel/Motel - rooms,Hway lodging - rooms
GuestRoom406,GuestRoom406_408 Thermal Zone,SmallHotel.osm,Hotel/Motel - rooms,Hway lodging - rooms
GuestRoom409,GuestRoom409_412 Thermal Zone,SmallHotel.osm,Hotel/Motel - rooms,Hway lodging - rooms
GuestRoom413,GuestRoom413 Thermal Zone,SmallHotel.osm,Hotel/Motel - rooms,Hway lodging - rooms
GuestRoom414,GuestRoom414 Thermal Zone,SmallHotel.osm,Hotel/Motel - rooms,Hway lodging - rooms
GuestRoom415,GuestRoom415_418 Thermal Zone,SmallHotel.osm,Hotel/Motel - rooms,Hway lodging - rooms
GuestRoom419,GuestRoom419 Thermal Zone,SmallHotel.osm,Hotel/Motel - rooms,Hway lodging - rooms
GuestRoom420,GuestRoom420_423 Thermal Zone,SmallHotel.osm,Hotel/Motel - rooms,Hway lodging - rooms
GuestRoom424,GuestRoom424 Thermal Zone,SmallHotel.osm,Hotel/Motel - rooms,Hway lodging - rooms
LaundryRoomFlr1,LaundryRoomFlr1 Thermal Zone,SmallHotel.osm,?,Storage area
MechanicalRoomFlr1,MechanicalRoomFlr1 Thermal Zone,SmallHotel.osm,Electrical/Mechanical,Electrical/Mechanical
MeetingRoomFlr1,MeetingRoomFlr1 Thermal Zone,SmallHotel.osm,Electrical/Mechanical,Electrical/Mechanical
RearStairsFlr1,RearStairsFlr1 Thermal Zone,SmallHotel.osm,Stairway,Stairway
RearStairsFlr2,RearStairsFlr2 Thermal Zone,SmallHotel.osm,Stairway,Stairway
RearStairsFlr3,RearStairsFlr3 Thermal Zone,SmallHotel.osm,Stairway,Stairway
RearStairsFlr4,RearStairsFlr4 Thermal Zone,SmallHotel.osm,Stairway,Stairway
RearStorageFlr1,RearStorageFlr1 Thermal Zone,SmallHotel.osm,Storage area,Storage area
RearStorageFlr2,RearStorageFlr2 Thermal Zone,SmallHotel.osm,Storage area,Storage area
RearStorageFlr3,RearStorageFlr3 Thermal Zone,SmallHotel.osm,Storage area,Storage area
RearStorageFlr4,RearStorageFlr4 Thermal Zone,SmallHotel.osm,Storage area,Storage area
RestroomFlr1,RestroomFlr1 Thermal Zone,SmallHotel.osm,Washroom,Washroom
,,SmallHotel.osm, ,
Attic,Attic Thermal Zone,SmallOffice.osm,?,plenum included in spaces not a separate zone
Core,Core_ZN Thermal Zone,SmallOffice.osm,Office - open plan,Office - enclosed
Perimeter,Perimeter_ZN_1 Thermal Zone,SmallOffice.osm,Office - open plan,Office - enclosed
Perimeter,Perimeter_ZN_2 Thermal Zone,SmallOffice.osm,Office - open plan,Office - enclosed
Perimeter,Perimeter_ZN_3 Thermal Zone,SmallOffice.osm,Office - open plan,Office - enclosed
Perimeter,Perimeter_ZN_4 Thermal Zone,SmallOffice.osm,Office - open plan,Office - enclosed
,,SmallOffice.osm, ,
Back,Back_Space Thermal Zone,Stand-aloneRetail.osm,Storage area,Storage area
Core,Core_Retail Thermal Zone,Stand-aloneRetail.osm,Sales area,Retail - sales
Front,Front_Entry Thermal Zone,Stand-aloneRetail.osm,?,Lobby - elevator
Front,Front_Retail Thermal Zone,Stand-aloneRetail.osm,?,Retail - sales
Point,Point_Of_Sale Thermal Zone,Stand-aloneRetail.osm,Retail - sales,Retail - sales
,,Stand-aloneRetail.osm, ,
LGstore1,LGstore1 Thermal Zone,StripMall.osm,?,Retail - sales
LGstore2,LGstore2 Thermal Zone,StripMall.osm,?,Retail - sales
SMstore1,SMstore1 Thermal Zone,StripMall.osm,?,Retail - sales
SMstore2,SMstore2 Thermal Zone,StripMall.osm,?,Retail - sales
SMstore3,SMstore3 Thermal Zone,StripMall.osm,?,Retail - sales
SMstore4,SMstore4 Thermal Zone,StripMall.osm,?,Retail - sales
SMstore5,SMstore5 Thermal Zone,StripMall.osm,?,Retail - sales
SMstore6,SMstore6 Thermal Zone,StripMall.osm,?,Retail - sales
SMstore7,SMstore7 Thermal Zone,StripMall.osm,?,Retail - sales
SMstore8,SMstore8 Thermal Zone,StripMall.osm,?,Retail - sales
,,StripMall.osm, ,
Bakery,Bakery Thermal Zone,SuperMarket.osm,?,Retail - sales
Deli,Deli Thermal Zone,SuperMarket.osm,?,Retail - sales
DryStorage,DryStorage Thermal Zone,SuperMarket.osm,Storage area,Storage area
Office,Office Thermal Zone,SuperMarket.osm,Office - enclosed,Office - enclosed
Produce,Produce Thermal Zone,SuperMarket.osm,?,Retail - sales
Sales,Sales Thermal Zone,SuperMarket.osm,Retail - sales,Retail - sales
,,SuperMarket.osm, ,
BulkStorage,BulkStorage Thermal Zone,Warehouse.osm,Warehouse - med/blk,Warehouse - med/blk
FineStorage,FineStorage Thermal Zone,Warehouse.osm,Warehouse - fine,Warehouse - fine
Office,Office Thermal Zone,Warehouse.osm,Office - enclosed,Office - enclosed
,,Warehouse.osm, ,
